State	County	Start date	End date	Average M/R
Texas	hartley	04/22/2020	05/31/2020	0.14172979797979798
Oklahoma	haskell	04/22/2020	05/21/2020	0
Texas	hays	04/22/2020	05/31/2020	0.00947148626192512
North Carolina	haywood	04/22/2020	05/31/2020	0
Texas	hemphill	04/22/2020	05/31/2020	0
North Carolina	henderson	04/22/2020	05/31/2020	0.11812130628788334
Texas	henderson	04/22/2020	05/31/2020	0.0017543859649122805
North Carolina	hertford	04/22/2020	05/31/2020	0.024868572031168164
Texas	hidalgo	04/22/2020	05/31/2020	0.018992124759803518
Texas	hill	04/22/2020	05/31/2020	0.05265426848917225
Texas	hockley	04/22/2020	05/31/2020	0.045405456284864684
North Carolina	hoke	04/22/2020	05/31/2020	0.0012015193648283206
Texas	hood	04/22/2020	05/31/2020	0.14301208184436076
Oregon	hood river	04/22/2020	05/31/2020	0
Texas	hopkins	04/22/2020	05/31/2020	0
Texas	houston	04/22/2020	05/31/2020	0
Texas	howard	04/22/2020	05/31/2020	0.21630952380952378
Texas	hunt	04/22/2020	05/31/2020	0.05236177300750884
Texas	hutchinson	04/22/2020	05/31/2020	0
Idaho	idaho	04/22/2020	05/31/2020	0
North Carolina	iredell	04/22/2020	05/31/2020	0.037682555570415846
Washington	island	04/22/2020	05/31/2020	0.0508660893248742
Texas	jack	04/22/2020	05/31/2020	0
North Carolina	jackson	04/22/2020	05/31/2020	0.022464813769161596
Oklahoma	jackson	04/22/2020	05/21/2020	0.01778613199665831
Oregon	jackson	04/22/2020	05/31/2020	0
Texas	jackson	04/22/2020	05/31/2020	0.02779207516339869
West Virginia	jackson	04/22/2020	06/10/2020	0.1147221841513808
Texas	jasper	04/22/2020	05/31/2020	0.053229439218229355
Idaho	jefferson	04/22/2020	05/31/2020	0
Oklahoma	jefferson	04/22/2020	05/21/2020	0
Oregon	jefferson	04/22/2020	05/31/2020	0
Texas	jefferson	04/22/2020	05/31/2020	0.0625281185044823
Washington	jefferson	04/22/2020	05/31/2020	0
West Virginia	jefferson	04/22/2020	06/10/2020	0.009413363306360516
Idaho	jerome	04/22/2020	05/31/2020	0.02722147773862612
Texas	jim wells	04/22/2020	05/31/2020	0
Texas	johnson	04/22/2020	05/31/2020	0.03417769534708727
North Carolina	johnston	04/22/2020	05/31/2020	0.07644702969568937
Oklahoma	johnston	04/22/2020	05/21/2020	0
North Carolina	jones	04/22/2020	05/31/2020	0.12961383987380082
Texas	jones	04/22/2020	05/31/2020	0
Oregon	josephine	04/22/2020	05/31/2020	0.04360683816776494
West Virginia	kanawha	04/22/2020	06/10/2020	0.06363787266779217
Texas	karnes	04/22/2020	05/31/2020	0
Texas	kaufman	04/22/2020	05/31/2020	0.007781536999559263
Oklahoma	kay	04/22/2020	05/21/2020	0.14094055112023227
Texas	kendall	04/22/2020	05/31/2020	0
Texas	kerr	04/22/2020	05/31/2020	0
Washington	king	04/22/2020	05/31/2020	0.07249952034090285
Oklahoma	kingfisher	04/22/2020	05/21/2020	0
Oklahoma	kiowa	04/22/2020	05/21/2020	0
Washington	kitsap	04/22/2020	05/31/2020	0.012968709193271305
Washington	kittitas	04/22/2020	05/31/2020	0
Oregon	klamath	04/22/2020	05/31/2020	0
Texas	kleberg	04/22/2020	05/31/2020	0.09148115773115773
Washington	klickitat	04/22/2020	05/31/2020	0.10067954981035476
Texas	knox	04/22/2020	05/31/2020	0
Idaho	kootenai	04/22/2020	05/31/2020	0
Texas	la salle	04/22/2020	05/31/2020	0
Texas	lamar	04/22/2020	05/31/2020	0.03681177094044867
Texas	lamb	04/22/2020	05/31/2020	0
Texas	lampasas	04/22/2020	05/31/2020	0
Oregon	lane	04/22/2020	05/31/2020	0.033293181104468904
Idaho	latah	04/22/2020	05/31/2020	0
Oklahoma	latimer	04/22/2020	05/21/2020	0.2033333333333334
Texas	lavaca	04/22/2020	05/31/2020	0.1241991341991342
Oklahoma	le flore	04/22/2020	05/21/2020	0.035714285714285705
North Carolina	lee	04/22/2020	05/31/2020	0.004891465069900358
Texas	lee	04/22/2020	05/31/2020	0.0010416666666666667
North Carolina	lenoir	04/22/2020	05/31/2020	0.04181471103449992
Texas	leon	04/22/2020	05/31/2020	0
Idaho	lewis	04/22/2020	05/31/2020	0
Washington	lewis	04/22/2020	05/31/2020	0.09705539029239588
West Virginia	lewis	04/22/2020	06/10/2020	0.057857142857142864
Texas	liberty	04/22/2020	05/31/2020	0.020528233238920356
Texas	limestone	04/22/2020	05/31/2020	0.06725970214780956
Idaho	lincoln	04/22/2020	05/31/2020	0
North Carolina	lincoln	04/22/2020	05/31/2020	0
Oklahoma	lincoln	04/22/2020	05/21/2020	0.07212373253394926
Oregon	lincoln	04/22/2020	05/31/2020	0
Washington	lincoln	04/22/2020	05/31/2020	0
West Virginia	lincoln	04/22/2020	06/10/2020	0
Oregon	linn	04/22/2020	05/31/2020	0.08020711694520335
Texas	live oak	04/22/2020	05/31/2020	0
Texas	llano	04/22/2020	05/31/2020	0
Oklahoma	logan	04/22/2020	05/21/2020	0.0446358543417367
West Virginia	logan	04/22/2020	06/10/2020	0.06885367487689469
Oklahoma	love	04/22/2020	05/21/2020	0
Texas	lubbock	04/22/2020	05/31/2020	0.0798718392539617
Texas	lynn	04/22/2020	05/31/2020	0.18964285714285714
North Carolina	macon	04/22/2020	05/31/2020	0.282082279380102
Idaho	madison	04/22/2020	05/31/2020	0
Texas	madison	04/22/2020	05/31/2020	0
Oklahoma	major	04/22/2020	05/21/2020	0.2849999999999999
Oregon	malheur	04/22/2020	05/31/2020	0
Oregon	marion	04/22/2020	05/31/2020	0.03132038055075348
Texas	marion	04/22/2020	05/31/2020	0.0078125
West Virginia	marion	04/22/2020	06/10/2020	0.04141255257382886
Oklahoma	marshall	04/22/2020	05/21/2020	0
West Virginia	marshall	04/22/2020	06/10/2020	0
North Carolina	martin	04/22/2020	05/31/2020	0.05173140153942728
Texas	martin	04/22/2020	05/31/2020	0.225
Texas	mason	04/22/2020	05/31/2020	0
Washington	mason	04/22/2020	05/31/2020	0.03223322455872547
West Virginia	mason	04/22/2020	06/10/2020	0
Texas	matagorda	04/22/2020	05/31/2020	0.0605411531093352
Texas	maverick	04/22/2020	05/31/2020	0.0032002547822997996
Oklahoma	mayes	04/22/2020	05/21/2020	0.15544280800421156
Oklahoma	mcclain	04/22/2020	05/21/2020	0.01785021212561943
Texas	mcculloch	04/22/2020	05/31/2020	0
Oklahoma	mccurtain	04/22/2020	05/21/2020	0
North Carolina	mcdowell	04/22/2020	05/31/2020	0.031938580970695615
West Virginia	mcdowell	04/22/2020	06/10/2020	0
Oklahoma	mcintosh	04/22/2020	05/21/2020	0.006363636363636364
Texas	mclennan	04/22/2020	05/31/2020	0.04223799002382209
North Carolina	mecklenburg	04/22/2020	05/31/2020	0.026509587099290133
Texas	medina	04/22/2020	05/31/2020	0.0668351817378279
West Virginia	mercer	04/22/2020	06/10/2020	0
Texas	midland	04/22/2020	05/31/2020	0.09053394325583138
Texas	milam	04/22/2020	05/31/2020	0.047892052338823446
West Virginia	mineral	04/22/2020	06/10/2020	0.0063536989771175
West Virginia	mingo	04/22/2020	06/10/2020	0.3190396825396825
Idaho	minidoka	04/22/2020	05/31/2020	0
North Carolina	mitchell	04/22/2020	05/31/2020	0
Texas	mitchell	04/22/2020	05/31/2020	0
West Virginia	monongalia	04/22/2020	06/10/2020	0.03949579205973036
West Virginia	monroe	04/22/2020	06/10/2020	0
